cubin,kernel,total_inst,HMMA,IMMA,LDSM,LDS,STS,LDGSTS,LDG,STG,FFMA,FADD,FMUL,FSEL,MUFU,SHFL,IADD3,IMAD,ISETP,LOP3,BRA,EXIT,BAR,BARRIER,WARPSYNC,NOP,S2R,other,useful_pct
kernels/attention/flash_attention/flash_fused.sm_86.cubin,flash_attn_fused,3256,64,0,48,238,186,0,30,32,70,305,416,0,116,161,122,218,56,42,63,17,4,0,5,19,6,1038,26.3
kernels/attention/flash_attention/flash_br16_regpv_pad_kv0_w4.sm_86.cubin,flash_attn_br16_regpv_pad,3136,64,0,48,128,110,0,30,32,70,305,384,0,116,161,98,259,51,42,59,17,5,0,7,8,22,1120,26.2
kernels/attention/flash_attention/flash_br16_regpv_pad_kv8_w4.sm_86.cubin,flash_attn_br16_regpv_pad,3136,64,0,48,128,110,0,30,32,70,305,384,0,116,161,94,259,51,42,59,17,5,0,7,8,22,1124,26.2
kernels/attention/flash_attention/flash_persistent.sm_86.cubin,flash_attn_persistent,3288,64,0,48,239,206,0,30,32,70,305,416,0,118,161,87,228,71,45,76,1,6,0,5,15,4,1061,26
kernels/attention/flash_attention/flash_split_q.sm_86.cubin,flash_attn_split_q,3000,64,0,48,238,205,0,30,64,31,287,384,0,97,161,80,210,47,17,38,2,5,0,5,17,8,962,25.5
kernels/attention/flash_attention/flash_br16_pipeline.sm_86.cubin,flash_attn_br16_pipeline,3392,64,0,48,238,165,24,16,32,70,305,416,0,116,161,137,267,65,50,64,17,4,0,5,12,5,1111,25.2
kernels/elementwise/activations/activations_fast.sm_86.cubin,gelu_fast,144,0,0,0,0,0,0,4,4,8,8,12,0,10,0,9,12,12,10,12,5,0,0,0,9,2,27,19.4
kernels/elementwise/activations/activations.sm_86.cubin,gelu_fast,144,0,0,0,0,0,0,4,4,8,8,12,0,10,0,9,12,12,10,12,5,0,0,0,9,2,27,19.4
kernels/gemm/sgemm/tiled.sm_86.cubin,sgemm_tiled,168,0,0,0,64,2,0,2,1,32,0,0,0,0,0,5,8,8,0,3,2,2,0,0,10,4,25,19
kernels/convolution/resblock/resblock.sm_86.cubin,groupnorm_silu_fused,1200,0,0,0,1,1,0,20,5,129,55,37,0,44,15,127,228,75,59,61,3,0,0,0,16,2,322,18.4
kernels/elementwise/timestep_emb/timestep_emb.sm_86.cubin,timestep_emb_with_silu_scale,72,0,0,0,0,0,0,5,2,2,2,9,0,8,0,1,7,2,0,1,2,0,0,0,15,2,14,18.1
kernels/attention/cross_attention/cross_attn_pipelined.sm_86.cubin,cross_attn_pipelined,4120,64,0,48,272,181,24,16,112,55,210,400,0,68,161,347,533,121,55,284,3,5,0,6,16,7,1132,17.7
kernels/reductions/softmax/softmax.sm_86.cubin,softmax_block,248,0,0,0,4,4,0,4,4,9,18,16,4,9,15,12,33,18,12,20,3,4,0,3,12,2,42,17.3
kernels/reductions/groupnorm/groupnorm.sm_86.cubin,groupnorm_nchw,1000,0,0,0,1,1,0,20,5,112,43,17,0,28,15,116,205,63,41,47,3,0,0,0,10,2,271,17.2
kernels/reductions/softmax/softmax.sm_86.cubin,softmax_warp,128,0,0,0,0,0,0,1,1,9,9,4,1,6,10,4,13,8,11,8,3,0,0,0,8,2,30,17.2
kernels/reductions/groupnorm/groupnorm.sm_86.cubin,groupnorm,1008,0,0,0,1,1,0,20,5,112,43,17,0,28,15,117,208,64,42,47,3,0,0,0,15,2,268,17.1
kernels/elementwise/activations/activations_fast.sm_86.cubin,silu_kernel,144,0,0,0,0,0,0,4,4,8,8,8,0,10,0,9,14,12,10,12,5,0,0,0,13,2,25,16.7
kernels/elementwise/activations/activations.sm_86.cubin,silu_kernel,144,0,0,0,0,0,0,4,4,8,8,8,0,10,0,9,14,12,10,12,5,0,0,0,13,2,25,16.7
kernels/gemm/igemm/igemm_register_blocked.sm_86.cubin,igemm_register_blocked,1256,0,64,8,64,14,0,14,64,0,0,129,0,0,0,76,150,59,38,35,2,2,0,16,12,23,486,15.4
